S. No.,F.Y.,Location,Month,PO No.,PO STATUS,Type,PO Value,Variation,Revised PO Value,Certified Value,Vendor Debit / Credit,Final Certified Value(K-L),Project,Vendor Name,Vendor Code,Category,Amount Paid,Final Payables,Total Invoice value,Credit Note/ Debit Note,Final Invoice value,Invoice Needed as per Certification,Invoice Needed as per Paid Amount,Advance,RA 1,RA 2,RA 3,RA 4,RA 5,RA 6,RA 7,RA 8,RA9,RA10,Final,TDS,PO vs Amount Paid %,Invoice No.1,Invoice Date1,Inv_Amount1,Invoice No._2,Invoice Date_2,Inv_Amount_2,Invoice No. _3,Invoice Date_3,Inv_Amount_3,Invoice No. _4,Invoice Date. _4,Inv_Amount_4,Invoice No. _5,Invoice Date. _5,Inv_Amount_5,Invoice No. _6,Invoice Date. _6,Inv_Amount_6,Invoice No. _7,Invoice Date. _7,Inv_Amount_7,Max_Inv_Date,Reason,Debit Note Status,Remarks,,Project Code
32,25-26,,May,LAIPL/PO/25-26/016,Open,,"84,400",0,"84,400","84,400",,"84,400",VMAN,Royal Feel Co,VEN-029,,"123,351","-38,951",0,,0,"84,400","123,351","35,405","40,000","47,946",,,,,,,,,,,#DIV/0!,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#REF!
33,25-26,,May,LAIPL/PO/25-26/017,Open,,"80,948",0,"80,948","80,948",,"80,948",VMAN,R Cube Project,VEN-006,,"50,935","30,013",0,,0,"80,948","50,935","50,935",,,,,,,,,,,,,63%,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#REF!
34,25-26,,May,LAIPL/PO/25-26/018,Partially Billed,,"218,703",0,"218,703","218,703",,"218,703",Pinnacle Co-working,Interio Mart,VEN-012,,"208,084","10,619",0,,0,"218,703","208,084","91,745","116,339",,,,,,,,,,,,95%,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#REF!
35,25-26,,Jun,LAIPL/PO/25-26/019,Billed,,"6,173",0,"6,173","6,173",,"6,173",VMAN,Royal Paints and Hardware,VEN-030,,"6,173",0,0,,0,"6,173","6,173","6,173",,,,,,,,,,,,,100%,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#REF!
36,25-26,,Jun,LAIPL/PO/25-26/020,Open,,"9,600",0,"9,600","9,600",,"9,600",VMAN,Rama Refrigeration,VEN-031,,"9,600",0,0,,0,"9,600","9,600","9,600",,,,,,,,,,,,,100%,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#REF!
37,25-26,,Jun,LAIPL/PO/25-26/021,Open,,"47,790",0,"47,790","47,790",,"47,790",VMAN,MR CHAIR,VEN-026,,"53,985","-6,195",0,,0,"47,790","53,985","38,232","15,753",,,,,,,,,,,,113%,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#REF!
38,25-26,,Jun,LAIPL/PO/25-26/022,Open,,"7,434","7,434",0,0,,0,VMAN,BALFRE HOSPITALITY AND FACILITY MANAGEMENT LLP,VEN-032,,0,0,0,,0,0,0,,,,,,,,,,,,,,#DIV/0!,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#REF!
39,25-26,,Jun,LAIPL/PO/25-26/023,Open,,"5,664","5,664",0,0,,0,VMAN,Poorvi Enterprises,VEN-011,,0,0,0,,0,0,0,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
40,25-26,,Jun,LAIPL/PO/25-26/024,Billed,,"1,169,380",0,"1,169,380","1,169,380",,"1,169,380",CASHIFY,Interio Mart,VEN-012,,"1,110,988","58,392",0,,0,"1,169,380","1,110,988","205,250","321,559","526,221","57,958",,,,,,,,,,95%,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#REF!
41,25-26,,Jun,LAIPL/PO/25-26/025,Open,,"2,405,666",0,"2,405,666","2,405,666",,"2,405,666",CASHIFY,MR CHAIR,VEN-026,,"2,433,161","-27,495",0,,0,"2,405,666","2,433,161","680,400","800,000","421,508","100,000","300,000","131,253",,,,,,,,101%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
42,25-26,,Jun,LAIPL/PO/25-26/026,Open,,"54,115",0,"54,115","54,115",,"54,115",Ubitech,VEEVANS DZYN,VEN-033,,"54,115",0,0,,0,"54,115","54,115","54,115",,,,,,,,,,,,,100%,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#REF!
43,25-26,,Jun,LAIPL/PO/25-26/027,Open,,"8,000",0,"8,000","8,000",,"8,000",,Shakir Demolition,VEN-034,,"6,000","2,000",0,,0,"8,000","6,000","6,000",,,,,,,,,,,,,75%,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#REF!
44,25-26,,Jun,LAIPL/PO/25-26/028,Open,,"23,900",0,"23,900","23,900",,"23,900",,Shakir Demolition,VEN-034,,"18,000","5,900",0,,0,"23,900","18,000","18,000",,,,,,,,,,,,,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
45,25-26,,Jun,LAIPL/PO/25-26/029,Partially Billed,,"378,739",0,"378,739","378,739",,"378,739",Cashify,Interio Mart,VEN-012,,"378,739",0,0,,0,"378,739","378,739","121,463","257,276",,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
46,25-26,,Jun,LAIPL/PO/25-26/030,Open,,"253,174",0,"253,174","253,174",,"253,174",Cashify,Interio Mart,VEN-012,,"253,173",1,0,,0,"253,174","253,173","101,937","151,236",,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
